Condition,Power,Subject,Pair
FG,0.052256869312964,1,1
FG,0.0390996487028934,1,2
FG,-0.0210572560125291,2,1
FG,-0.00734125216280276,3,1
FG,0.0136055852688023,3,2
FG,0.0166688081545785,3,3
FG,0.0149429774309119,4,1
FG,0.0214817975016524,4,2
FG,0.0176037654920579,5,1
FG,-0.0126529735027263,5,2
FG,0.0165040677596017,5,3
FG,0.00275022233883937,6,1
FG,0.0197137462169442,6,2
FG,0.0077838177555527,6,3
FG,0.00599717466984765,6,4
FG,0.0519035344468111,6,5
FG,-0.0294437788330911,7,1
FG,-0.026363505511236,7,2
FG,-0.0189663631216468,7,3
FG,-0.0548205679817298,7,4
FG,-0.0477570846778276,7,5
FG,-0.0565268639657839,7,6
FG,-0.0240683178170376,7,7
FG,-0.0305226053034297,7,8
FG,0.0158736534387388,7,9
FG,-0.00319314629395935,7,10
FG,-0.0036042245523572,7,11
FG,-0.00659155148598841,8,1
FG,-0.0159279539749603,8,2
FG,-0.0238452238238858,8,3
FG,-0.0478359254583448,8,4
FG,-0.0542144174955018,8,5
FG,0.00350479381199004,8,6
FG,0.0230592221899682,9,1
FG,0.00787905481945686,9,2
FG,0.00561616884921411,9,3
FG,-0.0449035814250546,9,4
FG,0.0928620391674139,9,5
FG,0.0890704842623635,9,6
FG,-0.0580745464526578,9,7
FG,-0.0324787839635849,10,1
FG,-0.0697512712352491,10,2
FG,-0.0768405501149509,10,3
FG,0.00748648645524319,10,4
FG,0.0554747111824967,11,1
FG,-0.0361171235140733,12,1
FG,-0.024311760668684,12,2
FG,0.0337158813350341,12,3
FG,0.0151014253117631,12,4
FG,0.0229395020623687,13,1
FG,-0.0153448164328834,13,2
FG,-0.0300653845197547,13,3
FG,-0.00441254749581509,13,4
FG,0.00863496464257118,13,5
FG,0.0107480206844879,14,1
FG,-0.0686498074256803,15,1
IPL,-0.0303120750655303,1,1
IPL,0.010820205869219,2,1
IPL,0.0292408553150425,3,1
IPL,0.0058075832424074,4,1
IPL,0.0464606174464367,4,2
IPL,-0.0501324306036839,4,3
IPL,-0.0154460831587214,5,1
IPL,-0.0189821427574401,5,2
IPL,0.0498811101572296,6,1
IPL,0.034876650024434,6,2
IPL,0.00135959477349929,6,3
IPL,0.0375993888273632,7,1
IPL,-0.0664763987450054,7,2
IPL,-0.0765415437332159,8,1
IPL,0.0117474891008759,8,2
IPL,-0.00326347873680315,8,3
IPL,0.00387428802908367,8,4
IPL,0.0362234062951683,9,1
IPL,0.0520229045005205,9,2
IPL,3.52312581819777e-05,9,3
IPL,0.013477824763095,10,1
IPL,0.0036116189909505,11,1
IPL,0.034972799483542,11,2
IPL,0.0291411509247903,11,3
IPL,0.0114805358107518,12,1
IPL,-0.00110241141688492,12,2
IPL,-0.000222048359666491,12,3
IPL,-0.0409600508699428,12,4
IPL,-0.00187188485117136,12,5
IPL,-0.0129661527300564,12,6
IPL,-0.0644730948581321,13,1
IPL,0.012325534333811,14,1
IPL,-0.0107387989889419,14,2
IPL,0.00062727119025616,14,3
